#,id,aggregate_type,aggregate_id,event_type,payload,status,created_at,sent_at,retry_count,last_error
38,f1eec59b-1c04-4a64-87e8-15524899e047,ORDER,da58e94e-0892-44a0-8177-5bae4c7476a3,StockReservationRequestedWithSaga,569233,FAILED,2026-04-13 22:41:07.363960 +00:00,,10,java.net.ConnectException: Connection refused
39,07990d5e-b6d8-495f-851d-a708989e4fc7,ORDER,24b0a15a-b16e-4495-9b9f-1ab4b10545ed,StockReservationRequestedWithSaga,569234,FAILED,2026-04-13 22:41:07.363994 +00:00,,10,java.net.ConnectException: Connection refused
40,f5ce6179-1d9a-4fdf-9564-8394b6b02c55,ORDER,fa3184b7-1a08-40cd-a47d-350ff32ef8a8,StockReservationRequestedWithSaga,569236,FAILED,2026-04-13 22:41:07.364063 +00:00,,10,java.net.ConnectException: Connection refused
41,6375ace1-04f3-49a9-b4f7-9160be552ca2,ORDER,49be1083-836e-432e-a036-d4b61fff9f7a,StockReservationRequestedWithSaga,569239,FAILED,2026-04-13 22:41:07.364170 +00:00,,10,java.net.ConnectException: Connection refused
42,05511c93-fcc0-43c9-8e19-bd9050c0eb3c,ORDER,85d2bb0b-21ea-48c3-847f-d686fdb67ef0,StockReservationRequestedWithSaga,569256,FAILED,2026-04-13 22:41:07.371124 +00:00,,10,java.net.ConnectException: Connection refused
43,9349a5a1-c842-4f19-939d-c6199764f8cd,ORDER,e2243b9e-d0e9-4cc7-b977-a6c684b9c594,StockReservationRequestedWithSaga,569258,FAILED,2026-04-13 22:41:07.373013 +00:00,,10,java.net.ConnectException: Connection refused
44,0acf7f41-6c88-4804-af80-9070f0086ab1,ORDER,3cfa6894-1acb-4eae-be1c-61e3bfb159a7,StockReservationRequestedWithSaga,569259,FAILED,2026-04-13 22:41:07.373602 +00:00,,10,java.net.ConnectException: Connection refused
45,21ad2573-95c9-4fdd-b359-b27300f94ccf,ORDER,c390ca95-9b3d-403b-b533-8db807bd314a,StockReservationRequestedWithSaga,569261,FAILED,2026-04-13 22:41:07.375894 +00:00,,10,java.net.ConnectException: Connection refused
46,ad159883-6156-444d-aeb2-30344540cf9b,ORDER,381e884b-cb85-4c1c-8e99-4b01bd208ef4,StockReservationRequestedWithSaga,569262,FAILED,2026-04-13 22:41:07.376958 +00:00,,10,java.net.ConnectException: Connection refused
47,be03582b-fd05-4403-b6f5-50faf6a98850,ORDER,95b75157-87b5-4c5f-b379-dcb0e088ef5a,StockReservationRequestedWithSaga,569263,FAILED,2026-04-13 22:41:07.388927 +00:00,,10,java.net.ConnectException: Connection refused
48,7af53460-9fe8-4596-ba1d-63d91d83ac39,ORDER,60d42e48-081a-4f82-955d-223e879fb181,StockReservationRequestedWithSaga,569264,FAILED,2026-04-13 22:41:07.390554 +00:00,,10,java.net.ConnectException: Connection refused
49,68e47a81-33cb-46f7-886e-6ed718d644b8,ORDER,74852752-8270-40df-9900-ff58f93e5536,StockReservationRequestedWithSaga,569265,FAILED,2026-04-13 22:41:07.391831 +00:00,,10,java.net.ConnectException: Connection refused
50,76bae2a9-b6cc-47cf-bb35-a12878838b29,ORDER,089eda66-7f63-4fc6-b73d-b2e972097d05,StockReservationRequestedWithSaga,569266,FAILED,2026-04-13 22:41:07.393038 +00:00,,10,java.net.ConnectException: Connection refused
